,Time,Sex,AgeStart,Value
2,1985,Both sexes,0,844230.0
5,1985,Both sexes,1,795629.5
8,1985,Both sexes,2,761131.5
11,1985,Both sexes,3,732565.0
14,1985,Both sexes,4,703728.0
17,1985,Both sexes,5,676338.5
20,1985,Both sexes,6,652173.0
23,1985,Both sexes,7,628950.5
26,1985,Both sexes,8,607744.0
29,1985,Both sexes,9,587386.5
32,1985,Both sexes,10,567487.5
35,1985,Both sexes,11,550046.0
38,1985,Both sexes,12,534588.5
41,1985,Both sexes,13,519722.0
44,1985,Both sexes,14,503000.5
47,1985,Both sexes,15,485073.5
50,1985,Both sexes,16,467536.0
53,1985,Both sexes,17,450079.5
56,1985,Both sexes,18,433158.5
59,1985,Both sexes,19,415365.5
62,1985,Both sexes,20,396284.0
65,1985,Both sexes,21,377061.0
68,1985,Both sexes,22,357864.0
71,1985,Both sexes,23,338527.0
74,1985,Both sexes,24,318827.0
77,1985,Both sexes,25,300314.5
80,1985,Both sexes,26,283199.5
83,1985,Both sexes,27,265688.5
86,1985,Both sexes,28,247586.5
89,1985,Both sexes,29,229536.5
92,1985,Both sexes,30,212783.5
95,1985,Both sexes,31,197618.0
98,1985,Both sexes,32,183213.0
1,1985,Both sexes,33,169356.5
4,1985,Both sexes,34,156352.5
7,1985,Both sexes,35,160289.0
10,1985,Both sexes,36,163913.0
13,1985,Both sexes,37,151765.5
16,1985,Both sexes,38,142266.5
19,1985,Both sexes,39,134736.5
22,1985,Both sexes,40,126636.5
25,1985,Both sexes,41,118610.0
28,1985,Both sexes,42,113228.0
31,1985,Both sexes,43,110448.5
34,1985,Both sexes,44,107866.0
37,1985,Both sexes,45,104606.0
40,1985,Both sexes,46,101511.0
43,1985,Both sexes,47,99390.0
46,1985,Both sexes,48,98203.0
49,1985,Both sexes,49,96441.0
52,1985,Both sexes,50,93666.5
55,1985,Both sexes,51,90296.5
58,1985,Both sexes,52,86453.0
61,1985,Both sexes,53,82747.5
64,1985,Both sexes,54,79317.5
67,1985,Both sexes,55,75369.0
70,1985,Both sexes,56,70718.0
73,1985,Both sexes,57,66113.5
76,1985,Both sexes,58,62076.5
79,1985,Both sexes,59,58654.5
82,1985,Both sexes,60,55644.5
85,1985,Both sexes,61,52979.5
88,1985,Both sexes,62,50387.5
91,1985,Both sexes,63,47435.0
94,1985,Both sexes,64,44362.5
97,1985,Both sexes,65,41569.0
0,1985,Both sexes,66,39028.0
3,1985,Both sexes,67,36275.0
6,1985,Both sexes,68,33131.5
9,1985,Both sexes,69,30265.5
12,1985,Both sexes,70,27938.5
15,1985,Both sexes,71,25945.5
18,1985,Both sexes,72,23720.0
21,1985,Both sexes,73,20894.5
24,1985,Both sexes,74,18402.5
27,1985,Both sexes,75,16495.0
30,1985,Both sexes,76,14555.0
33,1985,Both sexes,77,12582.5
36,1985,Both sexes,78,10801.5
39,1985,Both sexes,79,9339.0
42,1985,Both sexes,80,8141.999999999999
45,1985,Both sexes,81,7071.5
48,1985,Both sexes,82,6070.5
51,1985,Both sexes,83,5099.0
54,1985,Both sexes,84,4182.5
57,1985,Both sexes,85,3399.5
60,1985,Both sexes,86,2746.5
63,1985,Both sexes,87,2135.0
66,1985,Both sexes,88,1591.0
69,1985,Both sexes,89,1184.5
72,1985,Both sexes,90,883.0
75,1985,Both sexes,91,652.0
78,1985,Both sexes,92,476.5
81,1985,Both sexes,93,339.5
84,1985,Both sexes,94,234.0
87,1985,Both sexes,95,154.5
90,1985,Both sexes,96,94.0
93,1985,Both sexes,97,51.5
96,1985,Both sexes,98,24.0
99,1985,Both sexes,99,9.5
2,1985,Both sexes,100,6.0
