,Time,Sex,AgeStart,Value
0,1985,Both sexes,15,58.83
1,1985,Both sexes,16,99.105
2,1985,Both sexes,17,145.83499999999998
3,1985,Both sexes,18,196.054
4,1985,Both sexes,19,241.961
5,1985,Both sexes,20,280.769
6,1985,Both sexes,21,305.79200000000003
7,1985,Both sexes,22,317.222
8,1985,Both sexes,23,320.596
9,1985,Both sexes,24,318.09700000000004
10,1985,Both sexes,25,313.55499999999995
11,1985,Both sexes,26,308.452
12,1985,Both sexes,27,302.875
13,1985,Both sexes,28,297.026
14,1985,Both sexes,29,291.467
15,1985,Both sexes,30,286.493
16,1985,Both sexes,31,279.729
17,1985,Both sexes,32,271.072
18,1985,Both sexes,33,259.297
19,1985,Both sexes,34,244.842
20,1985,Both sexes,35,229.81199999999998
21,1985,Both sexes,36,216.662
22,1985,Both sexes,37,202.489
23,1985,Both sexes,38,187.212
24,1985,Both sexes,39,172.267
25,1985,Both sexes,40,158.776
26,1985,Both sexes,41,139.631
27,1985,Both sexes,42,116.755
28,1985,Both sexes,43,94.466
29,1985,Both sexes,44,74.01299999999999
30,1985,Both sexes,45,55.53
31,1985,Both sexes,46,41.609
32,1985,Both sexes,47,30.818
33,1985,Both sexes,48,22.599999999999998
34,1985,Both sexes,49,14.572
0,1995,Both sexes,15,43.428000000000004
1,1995,Both sexes,16,77.20299999999999
2,1995,Both sexes,17,119.248
3,1995,Both sexes,18,166.614
4,1995,Both sexes,19,208.976
5,1995,Both sexes,20,243.07000000000002
6,1995,Both sexes,21,264.04499999999996
7,1995,Both sexes,22,272.308
8,1995,Both sexes,23,273.75899999999996
9,1995,Both sexes,24,270.354
10,1995,Both sexes,25,264.649
11,1995,Both sexes,26,257.712
12,1995,Both sexes,27,250.17000000000002
13,1995,Both sexes,28,242.21
14,1995,Both sexes,29,233.892
15,1995,Both sexes,30,225.442
16,1995,Both sexes,31,215.65699999999998
17,1995,Both sexes,32,204.647
18,1995,Both sexes,33,191.911
19,1995,Both sexes,34,177.77599999999998
20,1995,Both sexes,35,163.49099999999999
21,1995,Both sexes,36,150.734
22,1995,Both sexes,37,137.859
23,1995,Both sexes,38,124.81200000000001
24,1995,Both sexes,39,112.25
25,1995,Both sexes,40,100.968
26,1995,Both sexes,41,86.70700000000001
27,1995,Both sexes,42,70.805
28,1995,Both sexes,43,55.741
29,1995,Both sexes,44,42.259
30,1995,Both sexes,45,30.181
31,1995,Both sexes,46,21.826
32,1995,Both sexes,47,15.585999999999999
33,1995,Both sexes,48,11.086
34,1995,Both sexes,49,6.98
0,2005,Both sexes,15,41.934
1,2005,Both sexes,16,75.17699999999999
2,2005,Both sexes,17,115.12
3,2005,Both sexes,18,158.48100000000002
4,2005,Both sexes,19,194.834
5,2005,Both sexes,20,221.45000000000002
6,2005,Both sexes,21,236.4
7,2005,Both sexes,22,240.626
8,2005,Both sexes,23,239.873
9,2005,Both sexes,24,235.982
10,2005,Both sexes,25,231.19400000000002
11,2005,Both sexes,26,226.36
12,2005,Both sexes,27,221.73399999999998
13,2005,Both sexes,28,217.222
14,2005,Both sexes,29,212.041
15,2005,Both sexes,30,206.137
16,2005,Both sexes,31,198.272
17,2005,Both sexes,32,188.562
18,2005,Both sexes,33,176.934
19,2005,Both sexes,34,163.702
20,2005,Both sexes,35,149.821
21,2005,Both sexes,36,136.624
22,2005,Both sexes,37,123.369
23,2005,Both sexes,38,110.096
24,2005,Both sexes,39,97.163
25,2005,Both sexes,40,85.148
26,2005,Both sexes,41,71.385
27,2005,Both sexes,42,56.913
28,2005,Both sexes,43,43.642
29,2005,Both sexes,44,32.135999999999996
30,2005,Both sexes,45,22.038999999999998
31,2005,Both sexes,46,15.482
32,2005,Both sexes,47,10.664
33,2005,Both sexes,48,7.2620000000000005
34,2005,Both sexes,49,4.3629999999999995
0,2015,Both sexes,15,22.401
1,2015,Both sexes,16,44.64
2,2015,Both sexes,17,77.47999999999999
3,2015,Both sexes,18,118.749
4,2015,Both sexes,19,157.083
5,2015,Both sexes,20,188.45999999999998
6,2015,Both sexes,21,206.494
7,2015,Both sexes,22,211.29999999999998
8,2015,Both sexes,23,209.726
9,2015,Both sexes,24,204.004
10,2015,Both sexes,25,196.996
11,2015,Both sexes,26,189.915
12,2015,Both sexes,27,183.948
13,2015,Both sexes,28,179.088
14,2015,Both sexes,29,173.986
15,2015,Both sexes,30,168.23399999999998
16,2015,Both sexes,31,160.36
17,2015,Both sexes,32,150.454
18,2015,Both sexes,33,139.345
19,2015,Both sexes,34,127.283
20,2015,Both sexes,35,114.516
21,2015,Both sexes,36,101.275
22,2015,Both sexes,37,88.135
23,2015,Both sexes,38,75.283
24,2015,Both sexes,39,62.949000000000005
25,2015,Both sexes,40,50.923
26,2015,Both sexes,41,40.176
27,2015,Both sexes,42,30.538
28,2015,Both sexes,43,22.744
29,2015,Both sexes,44,16.872999999999998
30,2015,Both sexes,45,13.046000000000001
31,2015,Both sexes,46,9.889
32,2015,Both sexes,47,7.54
33,2015,Both sexes,48,5.719
34,2015,Both sexes,49,3.754
10,2025,Both sexes,15,9.858
24,2025,Both sexes,16,22.616
44,2025,Both sexes,17,45.73
61,2025,Both sexes,18,78.595
78,2025,Both sexes,19,112.846
95,2025,Both sexes,20,144.85500000000002
12,2025,Both sexes,21,166.68099999999998
29,2025,Both sexes,22,177.424
43,2025,Both sexes,23,181.394
63,2025,Both sexes,24,180.114
80,2025,Both sexes,25,175.93200000000002
97,2025,Both sexes,26,170.095
14,2025,Both sexes,27,164.809
31,2025,Both sexes,28,160.299
48,2025,Both sexes,29,155.272
65,2025,Both sexes,30,149.277
82,2025,Both sexes,31,141.599
99,2025,Both sexes,32,132.369
16,2025,Both sexes,33,122.84100000000001
33,2025,Both sexes,34,113.042
50,2025,Both sexes,35,102.201
67,2025,Both sexes,36,89.63300000000001
84,2025,Both sexes,37,76.961
1,2025,Both sexes,38,64.447
18,2025,Both sexes,39,51.998999999999995
35,2025,Both sexes,40,39.129
52,2025,Both sexes,41,28.733999999999998
69,2025,Both sexes,42,20.11
86,2025,Both sexes,43,13.468
3,2025,Both sexes,44,8.746
20,2025,Both sexes,45,6.045
37,2025,Both sexes,46,3.952
54,2025,Both sexes,47,2.646
71,2025,Both sexes,48,1.879
88,2025,Both sexes,49,1.1820000000000002
10,2035,Both sexes,15,4.901
24,2035,Both sexes,16,12.721
44,2035,Both sexes,17,29.746000000000002
61,2035,Both sexes,18,57.528999999999996
78,2035,Both sexes,19,90.049
95,2035,Both sexes,20,124.008
12,2035,Both sexes,21,149.04500000000002
29,2035,Both sexes,22,162.81799999999998
43,2035,Both sexes,23,168.919
63,2035,Both sexes,24,168.687
80,2035,Both sexes,25,164.702
97,2035,Both sexes,26,158.5
14,2035,Both sexes,27,153.01899999999998
31,2035,Both sexes,28,148.602
48,2035,Both sexes,29,143.707
65,2035,Both sexes,30,137.763
82,2035,Both sexes,31,129.986
99,2035,Both sexes,32,120.549
16,2035,Both sexes,33,111.154
33,2035,Both sexes,34,101.772
50,2035,Both sexes,35,91.193
67,2035,Both sexes,36,78.352
84,2035,Both sexes,37,65.563
1,2035,Both sexes,38,53.184000000000005
18,2035,Both sexes,39,41.091
35,2035,Both sexes,40,28.799000000000003
52,2035,Both sexes,41,19.823
69,2035,Both sexes,42,12.988
86,2035,Both sexes,43,8.1
3,2035,Both sexes,44,4.904999999999999
20,2035,Both sexes,45,3.333
37,2035,Both sexes,46,2.069
54,2035,Both sexes,47,1.341
71,2035,Both sexes,48,0.957
89,2035,Both sexes,49,0.609
10,2045,Both sexes,15,2.676
24,2045,Both sexes,16,7.6899999999999995
44,2045,Both sexes,17,20.207
61,2045,Both sexes,18,42.967999999999996
78,2045,Both sexes,19,72.188
95,2045,Both sexes,20,105.39
12,2045,Both sexes,21,131.58100000000002
29,2045,Both sexes,22,147.324
43,2045,Both sexes,23,155.28300000000002
63,2045,Both sexes,24,156.45899999999997
80,2045,Both sexes,25,153.38199999999998
97,2045,Both sexes,26,147.69199999999998
14,2045,Both sexes,27,142.687
31,2045,Both sexes,28,138.80700000000002
48,2045,Both sexes,29,134.36
65,2045,Both sexes,30,128.728
82,2045,Both sexes,31,121.08
99,2045,Both sexes,32,111.641
16,2045,Both sexes,33,102.432
33,2045,Both sexes,34,93.391
50,2045,Both sexes,35,83.04599999999999
67,2045,Both sexes,36,70.154
84,2045,Both sexes,37,57.47
1,2045,Both sexes,38,45.42100000000001
18,2045,Both sexes,39,33.88
35,2045,Both sexes,40,22.425
52,2045,Both sexes,41,14.645999999999999
69,2045,Both sexes,42,9.093
86,2045,Both sexes,43,5.35
3,2045,Both sexes,44,3.0599999999999996
20,2045,Both sexes,45,2.0460000000000003
37,2045,Both sexes,46,1.217
54,2045,Both sexes,47,0.7649999999999999
72,2045,Both sexes,48,0.544
89,2045,Both sexes,49,0.348
10,2055,Both sexes,15,1.621
24,2055,Both sexes,16,5.051
44,2055,Both sexes,17,14.493
61,2055,Both sexes,18,33.094
78,2055,Both sexes,19,58.74
95,2055,Both sexes,20,89.835
12,2055,Both sexes,21,115.881
29,2055,Both sexes,22,132.82399999999998
43,2055,Both sexes,23,142.412
63,2055,Both sexes,24,145.24599999999998
80,2055,Both sexes,25,143.602
97,2055,Both sexes,26,139.077
14,2055,Both sexes,27,135.043
31,2055,Both sexes,28,132.023
48,2055,Both sexes,29,128.23999999999998
65,2055,Both sexes,30,123.075
82,2055,Both sexes,31,115.649
99,2055,Both sexes,32,106.245
16,2055,Both sexes,33,97.14200000000001
33,2055,Both sexes,34,88.269
50,2055,Both sexes,35,77.997
67,2055,Both sexes,36,65.014
84,2055,Both sexes,37,52.379000000000005
1,2055,Both sexes,38,40.569
18,2055,Both sexes,39,29.455
35,2055,Both sexes,40,18.671
52,2055,Both sexes,41,11.712
69,2055,Both sexes,42,6.9750000000000005
86,2055,Both sexes,43,3.921
3,2055,Both sexes,44,2.146
20,2055,Both sexes,45,1.414
37,2055,Both sexes,46,0.812
55,2055,Both sexes,47,0.49700000000000005
72,2055,Both sexes,48,0.35
89,2055,Both sexes,49,0.222
10,2065,Both sexes,15,1.085
24,2065,Both sexes,16,3.5860000000000003
44,2065,Both sexes,17,10.916
61,2065,Both sexes,18,26.141000000000002
78,2065,Both sexes,19,48.242
95,2065,Both sexes,20,76.362
12,2065,Both sexes,21,101.223
29,2065,Both sexes,22,118.64800000000001
43,2065,Both sexes,23,129.576
63,2065,Both sexes,24,134.215
80,2065,Both sexes,25,134.42399999999998
97,2065,Both sexes,26,131.62199999999999
14,2065,Both sexes,27,129.00400000000002
31,2065,Both sexes,28,127.15599999999999
48,2065,Both sexes,29,124.259
65,2065,Both sexes,30,119.729
82,2065,Both sexes,31,112.634
99,2065,Both sexes,32,103.321
16,2065,Both sexes,33,94.277
33,2065,Both sexes,34,85.44699999999999
50,2065,Both sexes,35,75.127
67,2065,Both sexes,36,62.014
84,2065,Both sexes,37,49.361000000000004
1,2065,Both sexes,38,37.684000000000005
18,2065,Both sexes,39,26.851
35,2065,Both sexes,40,16.53
52,2065,Both sexes,41,10.083
