,Time,Sex,AgeStart,Value
0,1985,Male,0,0.0736176
1,1985,Female,0,0.06257504
3,1985,Male,1,0.01572612
4,1985,Female,1,0.01488407
6,1985,Male,2,0.00946485
7,1985,Female,2,0.00897368
9,1985,Male,3,0.0064211
10,1985,Female,3,0.00607768
12,1985,Male,4,0.00444256
13,1985,Female,4,0.00423319
15,1985,Male,5,0.00334082
16,1985,Female,5,0.00316313
18,1985,Male,6,0.00272734
19,1985,Female,6,0.00256088
21,1985,Male,7,0.00228675
22,1985,Female,7,0.00212973
24,1985,Male,8,0.00198835
25,1985,Female,8,0.00183902
27,1985,Male,9,0.00179534
28,1985,Female,9,0.00164996
30,1985,Male,10,0.00166408
31,1985,Female,10,0.00154893
33,1985,Male,11,0.001577
34,1985,Female,11,0.00150297
36,1985,Male,12,0.00157991
37,1985,Female,12,0.00150495
39,1985,Male,13,0.00163444
40,1985,Female,13,0.00153959
42,1985,Male,14,0.00173926
43,1985,Female,14,0.00162261
45,1985,Male,15,0.00187624
46,1985,Female,15,0.0017286
48,1985,Male,16,0.00208908
49,1985,Female,16,0.00187345
51,1985,Male,17,0.00231682
52,1985,Female,17,0.00199053
54,1985,Male,18,0.00255114
55,1985,Female,18,0.00212797
57,1985,Male,19,0.00279393
58,1985,Female,19,0.00224527
60,1985,Male,20,0.00302171
61,1985,Female,20,0.00236462
63,1985,Male,21,0.00321267
64,1985,Female,21,0.00248715
66,1985,Male,22,0.00336141
67,1985,Female,22,0.00260049
69,1985,Male,23,0.00346248
70,1985,Female,23,0.00270566
72,1985,Male,24,0.00353925
73,1985,Female,24,0.00281239
75,1985,Male,25,0.0035904
76,1985,Female,25,0.00291838
78,1985,Male,26,0.00364883
79,1985,Female,26,0.00301563
81,1985,Male,27,0.00371293
82,1985,Female,27,0.00310953
84,1985,Male,28,0.00380174
85,1985,Female,28,0.00322616
87,1985,Male,29,0.00389801
88,1985,Female,29,0.00330557
90,1985,Male,30,0.00405026
91,1985,Female,30,0.00345313
93,1985,Male,31,0.00414605
94,1985,Female,31,0.00352371
96,1985,Male,32,0.00435884
97,1985,Female,32,0.00368819
99,1985,Male,33,0.0045348
0,1985,Female,33,0.0038266
2,1985,Male,34,0.00472334
3,1985,Female,34,0.00397944
5,1985,Male,35,0.00496957
6,1985,Female,35,0.00413835
8,1985,Male,36,0.00519552
9,1985,Female,36,0.00431371
11,1985,Male,37,0.00543037
12,1985,Female,37,0.00447598
14,1985,Male,38,0.00572442
15,1985,Female,38,0.0047118
17,1985,Male,39,0.00598647
18,1985,Female,39,0.00488605
20,1985,Male,40,0.00636326
21,1985,Female,40,0.0051614
23,1985,Male,41,0.00657875
24,1985,Female,41,0.00526489
26,1985,Male,42,0.00703244
27,1985,Female,42,0.00558583
29,1985,Male,43,0.00733264
30,1985,Female,43,0.00574186
32,1985,Male,44,0.00773996
33,1985,Female,44,0.00596806
35,1985,Male,45,0.00823358
36,1985,Female,45,0.00624658
38,1985,Male,46,0.0086365
39,1985,Female,46,0.00649339
41,1985,Male,47,0.0091808
42,1985,Female,47,0.00679713
44,1985,Male,48,0.00984214
45,1985,Female,48,0.00724857
47,1985,Male,49,0.01050324
48,1985,Female,49,0.00767781
50,1985,Male,50,0.01137048
51,1985,Female,50,0.00833282
53,1985,Male,51,0.01194228
54,1985,Female,51,0.00868741
56,1985,Male,52,0.01292731
57,1985,Female,52,0.00943062
59,1985,Male,53,0.01370227
60,1985,Female,53,0.00995114
62,1985,Male,54,0.01459794
63,1985,Female,54,0.01061242
65,1985,Male,55,0.01548125
66,1985,Female,55,0.01125532
68,1985,Male,56,0.01652363
69,1985,Female,56,0.01202507
71,1985,Male,57,0.01759217
72,1985,Female,57,0.01279732
74,1985,Male,58,0.01903316
75,1985,Female,58,0.01393624
77,1985,Male,59,0.02049513
78,1985,Female,59,0.01506368
80,1985,Male,60,0.0225238
81,1985,Female,60,0.01684003
83,1985,Male,61,0.02399172
84,1985,Female,61,0.01788769
86,1985,Male,62,0.02639846
87,1985,Female,62,0.01992435
89,1985,Male,63,0.02860962
90,1985,Female,63,0.02173725
92,1985,Male,64,0.03102748
93,1985,Female,64,0.02378239
95,1985,Male,65,0.03374287
96,1985,Female,65,0.02611549
98,1985,Male,66,0.03626204
99,1985,Female,66,0.02825564
1,1985,Male,67,0.03945394
2,1985,Female,67,0.03094459
4,1985,Male,68,0.04306926
5,1985,Female,68,0.03417018
7,1985,Male,69,0.04678557
8,1985,Female,69,0.0373329
10,1985,Male,70,0.05193957
11,1985,Female,70,0.04227378
13,1985,Male,71,0.05569851
14,1985,Female,71,0.04526267
16,1985,Male,72,0.06194614
17,1985,Female,72,0.0508807
19,1985,Male,73,0.06752736
20,1985,Female,73,0.05569905
22,1985,Male,74,0.07389328
23,1985,Female,74,0.06128911
25,1985,Male,75,0.08083946
26,1985,Female,75,0.06750808
28,1985,Male,76,0.08794771
29,1985,Female,76,0.07348498
31,1985,Male,77,0.09551197
32,1985,Female,77,0.07995194
34,1985,Male,78,0.10483932
35,1985,Female,78,0.08831662
37,1985,Male,79,0.11351163
38,1985,Female,79,0.09565625
40,1985,Male,80,0.12453815
41,1985,Female,80,0.1056756
43,1985,Male,81,0.13323851
44,1985,Female,81,0.11249056
46,1985,Male,82,0.14721702
47,1985,Female,82,0.12547563
49,1985,Male,83,0.15994007
50,1985,Female,83,0.13691926
52,1985,Male,84,0.17489519
53,1985,Female,84,0.15045942
55,1985,Male,85,0.18824172
56,1985,Female,85,0.16325747
58,1985,Male,86,0.20366611
59,1985,Female,86,0.17698558
61,1985,Male,87,0.21889494
62,1985,Female,87,0.19069671
64,1985,Male,88,0.23566801
65,1985,Female,88,0.20624352
67,1985,Male,89,0.25187363
68,1985,Female,89,0.22082927
70,1985,Male,90,0.27206929
71,1985,Female,90,0.24178288
